,City,Title,Company,Location,Summary,Salary,Description
141,Pittsburgh,Data Scientist,rue21,Nothing_found,"Rue21 is looking for an experienced Data Scientist. Knowledge of BI related principles such as ETL, data modeling, & data warehousing....","rue21


2,060 reviews","Overview
rue21 is looking for an experienced Data Scientist. We are looking for an individual who will take ownership of data mining, building predictive models, and driving the construction of data insight products at rue21. The right candidate should be a self-motivated, highly detail-oriented team-player with a positive drive to provide insight to rue21 business partners. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
Responsibilities
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Coordinate with different functional teams to implement models and monitor outcomes.
Deliver insight to leadership, helping drive strategic business decisions.
Execute data mining activities providing insight from datasets.
Build accurate statistical supervised & unsupervised predictive models.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Qualifications
5+ years of experience with several years in hands on experience manipulating data sets and building statistical models.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Experience querying databases and using statistical computer languages: R, Python, etc.
A strong analytical and quantitative analysis mindset
Ability to think strategically and translate plans into phased actions in a fast paced, high pressure environment
Dimensional and/or Multidimensional modeling experience is a plus
Knowledge of BI related principles such as ETL, data modeling, & data warehousing
BS/MS degree in Statistics, Mathematics, Computer Science or equivalent/related degree.
Competencies
IND1IT
#LI-LG1"
152,Pittsburgh,Sr Scientist,Covestro,Nothing_found,"Knowledge of experimental design, data analysis, and modeling. Monitors new customer product data and assists with troubleshooting....","Covestro


53 reviews","We are Covestro. We are curious. We are courageous. We are colorful. We refined Chemical material solutions with game-changing products. Let us empower you to push boundaries. Join us and our 16,000 colleagues now and together we will MAKE the world a brighter place.

WHAT WE OFFER
Covestro is seeking to hire a Senior Scientist in our Thermoplastic Polyurethane R&D Group located at our US Headquarters in Pittsburgh, PA. This position will develop new Thermoplastic Polyurethane (TPU) grades or modify existing grades in support of business objectives. This involves understanding the needs of the customer, conducting laboratory syntheses, scale-up evaluations, and testing. This position is also responsible for hands-on work including extrusion and injection molding processing studies. The position requires a good understanding of polyurethane structure-property relationships in order to efficiently create high performance grades which meet the needs of the market.
Major Tasks & Responsibilities:
Develops new and modified grades of TPU in line with strategy.
Works with customers to understand their needs and develop / modify products accordingly.
Designs, plans and carries out small-scale lab reactions and pilot plant studies.
Assists in troubleshooting issues in resin production.
Assists Technical Service when introducing new TPU formulations to customers. Monitors new customer product data and assists with troubleshooting.
Stays up-to-date on technical trends in the market and benchmarks competitive products.
Works with product management, pilot plant and production personnel to successfully scale-up new grades.
Evaluates raw materials and additives to determine their effect on TPU properties.
Basic Qualifications:
Bachelor’s degree in a technical discipline and at least eight years of applicable technical experience;
OR Master’s degree in a technical discipline with at least four years of applicable technical experience;
OR PhD in a technical discipline with at least two years of applicable technical experience
Preferred Qualifications:
Advanced degree in a technical discipline, most preferable PhD
Experience with commercial functions and relationships in the elastomers industry
Extensive experience with TPU or polyurethane technology, processing, and applications, including production, formulating, and testing
Essential Knowledge and Skills
Multi-tasking
Knowledge of experimental design, data analysis, and modeling
Hands-on laboratory skills and willingness to complete laboratory tasks
#LI-BH1
WHAT YOU OFFER
YOUR APPLICATION

Are you curious, courageous and colorful as we are? If so, we can offer you exciting career opportunities. We look forward to receiving your application including a cover letter, your resume, certificates as well as your salary expectations and your notice period. Become part of our Team - apply now!
Equal Employment Opportunity: Hiring and advancement are based on job-related requirements and on an individual's qualifications to perform a job. All aspects of employment are carried out free of discrimination or harassment based on race, color, religion, sex (including pregnancy), national origin, age, disabilities, genetic information, veteran status, sexual orientation, gender identity/gender expression or any unlawful criterion, existing under applicable federal, state, or local law."
153,Pittsburgh,Data Scientist,"CGI Group, Inc.",Nothing_found,"Perform data exploration and data mining. Discover business narratives told by the data and present them to other scientists, business stakeholders, and...","CGI Group, Inc.


2,287 reviews","Meet our professionals

CGI: An employer of choice

Position Description:
This position is responsible for business consulting activities for the Data Strategy and Analytics teams within our client organizations to monitor and assist in improving their analytics eco system. We need someone with a creative problem-solving skills to work on our client's business opportunities. Our Data Scientistwill work to understand high value opportunities and identify/build potential solutions, which often involve discovering new insights by transforming data into intuitive & interactive visualizations or applications

Responsibilities:
Serve as an expert in translating complex data into key strategy insights and valuable actions.


Discover business narratives told by the data and present them to other scientists, business stakeholders, and managers at various levels.
Develop and test heuristics.
Create and run statistic/ML models.
Perform data exploration and data mining.
Create business intelligence, dashboards, visualizations, and/or other advanced analytics reports to adequately tell the business narrative and offer recommendations that are practiced, actionable, and have material impact, in addition to being well-supported by analytical models and data.

Skills:
Work experience in addition to degree: 3 - 5 years of data engineering/science related activities with overall 10+ years' experience.


Graduation from a four-year college or university with a degree in statistics, physics, mathematics, engineering, computer science, or management of information systems.
Expert knowledge of SAS, Python Machine Learning or R
Working knowledge of statistics, programming and predictive modeling.
Working knowledge of code writing
Big Data/Hadoop/NoSQL and experience with large datasets

Desired:
Doctorate in Computer science, Engineering, Physics or Statistics

Skills:

Data Analysis
SQL
Python
QlikView
Data Architecture

What you can expect from us: Build your career with us.

It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients' digital journeys and offering our professionals exciting career opportunities.

At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.

Be part of building one of the largest independent technology and business services firms in the world.

Learn more about CGI at www.cgi.com.

No unsolicited agency referrals please."
154,Pittsburgh,Data Scientist,PNC Financial Services Group,Nothing_found,"Participates in the data gathering, data processing and data mining of large and complex datasets. May partner with Data Architects, Data Analysts, Data...","PNC Financial Services Group


5,311 reviews","Position Overview

Position Overview
Data Scientist

At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. As a Data Scientist within PNC's Retail Lending Automated Solutions Group, you will be a member of a vibrant team of individuals collectively working on advanced analytics, machine learning, and application development for optimizing processes in lending services.
Your work will enable the business to optimize customer service levels, simplify and streamline processes, and improve cost performance. You will report to the Head of Optimization and will be a part of a high-performing team of data scientists and developers dedicated to improving Retail Lending profitability and efficiency.

Responsibilities
Develop applications that streamline and simplify processes utilizing Python and Django environments
Responsible for developing business requirements and translating business needs into moderately complex analyses and projects for a department or functional area
Compiles and mines data from multiple, cross business sources
Maximize operational efficiency, quality, compliance
May provide guidance to less experienced specialists
May partner with technology and/or with other business groups

Job Profile

Performs analytical tasks on vast amounts of structured and unstructured data to extract actionable business insights.
Participates in the data gathering, data processing and data mining of large and complex datasets.
Develops algorithms using advanced mathematical and statistical techniques like machine learning to predict business outcomes and recommend optimal actions to management.
Runs analytical experiments in a methodical manner to find opportunities for product and process optimization. Assists in the presentation of business insights to management using visualization technologies and data storytelling.
May partner with Data Architects, Data Analysts, Data Engineers and Visualization Experts to develop data-driven solutions for the business.


Core Competencies

Manages Risk - Working Experience
Assesses and effectively manages all of the risks associated with their business objectives and activities to ensure activities are in alignment with the bank's and unit's risk appetite and risk management framework.
Customer Focus - Extensive Experience
Knowledge of the values and practices that align customer needs and satisfaction as primary considerations in all business decisions, and ability to leverage that information in creating customized customer solutions.


Job Specific Competencies

Data Architecture - Working Experience
Knowledge of and ability to design blueprints on how to integrate data resources for business processes and functional support.
Information Capture - Working Experience
Knowledge of the methods, channels and processes to obtain needed information; ability to identify, capture and document relevant business information in an auditable, organized, understandable and easily retrievable manner.
Modeling: Data, Process, Events, Objects - Extensive Experience
Knowledge of and the ability to use tools and techniques for analyzing and documenting logical relationships among data, processes or events.
Prototyping - Working Experience
Knowledge of and ability to implement prototyping disciplines, tools and techniques in evolutionary models within the target environment.
Query and Database Access Tools - Working Experience
Knowledge of and the ability to use, support and access facilities for extracting and formatting a database management system.
Disruptive Innovation - Working Experience
Knowledge of concepts, principles, and approaches of disruptive innovation; ability to adopt the knowledge into related processes and practices.
Machine Learning - Working Experience
Knowledge of principles, technologies and algorithms of machine learning; ability to develop, implement and deliver related systems, products and services.
Data Mining - Working Experience
Knowledge of tools, techniques and practices in data mining technologies used to acquire essential business information.


Preferences/Skills

Skills/Preferences
Bachelor's Degree in Mathematics, Industrial Engineering, Operations Research, Computer Science or another related field of study
7+ years of industry-specific experience.
Strong analytical and problem solving skills.
MS Office and Excel skills.
Prior experience with Python, Django, and JS
Solid written and oral communications capabilities.

Preferred qualifications:
Master’s Degree or PhD in Mathematics, Industrial Engineering, Operations Research, Computer Science or another related field of study
Very strong Microsoft Excel skills as well as hands-on experience with R, Python, Django
Ability to interact directly with all levels of management
Proven skills in project management, problem solving and decision-making
Ability to meet aggressive deadlines and to work independently
Excellent written and oral communications skills

Required Education and Experience

Roles at this level typically require a university / college degree, with 3+ years of relevant / direct industry experience. Certifications are often desired. In lieu of a degree, a comparable combination of education and experience (including military service) may be considered.

EEO Statement

PNC provides equal employment opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law"
155,Pittsburgh,Claims Research Analyst,Paragon Asset Recovery Services,Nothing_found,*Opportunity: * Paragon has an immediate opening for a Research Analyst within our billing department. This position electronically reviews insurance...,"Paragon Asset Recovery Services


3 reviews","Opportunity: Paragon has an immediate opening for a Research Analyst within our billing department. This position electronically reviews insurance policies and claims to identify balances due from policyholders. Research Analysts also perform daily problem solving on previously billed invoices and supports the internal recovery department.Skills Required: Ability to work independently for extended periods of time performing computer based research.Ability to learn and efficiently work in numerous systems and applicationsAbility to handle competing priorities and changing deadlinesSelf motivated and strong attention to detailProficient in Microsoft word and excelStrong administrative skillsExperience: Associates degree or equivalent work experience desiredInterpersonal and communication skills (both written and oral)Organization and prioritization skillsStrong analytical abilityBenefits: Health, vision and dental insurance401k plan with company matchingAnnual profit sharing planPaid vacation, company holidays, sick days and personal daysTuition reimbursementQuarterly incentive planAbout Paragon: Paragon is a technology and services company that has been in business since 1994. We combine technology, creativity and efficient business processes to solve complex problems for insurance carriers. Our services range from finding and then recovering missed deductibles and subrogation opportunities to performing complex accounting and reconciliation functions.Job Type: Full-timeExperience:Excel: 1 year (Preferred)Microsoft Word: 1 year (Preferred)Analysis Skills: 1 year (Preferred)Administrative: 1 year (Preferred)Education:Associate (Preferred)Benefits offered:Paid time offParental leaveHealth insuranceDental insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsOther types of insuranceRetirement benefits or accountsEducation assistance or tuition reimbursementEmployee discountsOthers"
157,Portland,Associate Development Scientist,MolecularMD,Nothing_found,"Drafts project dependent experimental plans.Independently executes experiments according to approved project development or assay validation plans, budgets, and...",MolecularMD,"Overview of the role: The Associate Development Scientist, Portland, will be part of the Portland Development Laboratory team supporting the development and performance of clinical diagnostic and research biomarker assays on droplet digital PCR, real-time PCR, or other platforms. This position will perform general laboratory maintenance tasks and basic laboratory techniques such as nucleic acid isolation, quantification, PCR, data analysis, recording, and reporting laboratory results as directed for specific assays and/or projects.Essential duties and responsibilities: Drafts project dependent experimental plans.Independently executes experiments according to approved project development or assay validation plans, budgets, and timelines with limited oversight by a Clinical Development Scientist II or Senior ScientistPerforms critical specimen management functions using the laboratory database system(s) in accordance with MolecularMD policies and proceduresPerforms nucleic acid extraction and quantification from human tissue specimens (e.g., FFPE, blood, plasma, cell lines) according to laboratory SOPsPerforms other routine method procedures such as PCR setup according to laboratory SOPsAnalyzes data and evaluates empirical results against anticipated results. Reviews and verifies data for accuracy in Excel worksheets and other database systemsIdentifies, reports and solves problems in experimental designs, providing clear documentation of the problem resolution processEnsures proper care in the use and maintenance of equipment and suppliesDocuments all quality assurance activities as necessary, such as instrument usage, cleaning, safety, temperature checks, and other supportive documentation to ensure regulatory complianceAssists in preparation and/or revision of written documents, including project progress and/or summary reports, assay validation plans and reports, SOPs and FRMs, as directedParticipates in fundamental literature review related to products under developmentAssists with technology and product evaluations as directedModels compliance with clinical laboratory regulatory policies, all MolecularMD policies, and contractual procedures for each MolecularMD clientDemonstrates strict adherence to established laboratory processes across all phases of sample handling and testing workflowsDemonstrates commitment to compliance with all MolecularMD Clinical Development Laboratory procedures, safety and regulatory work practice guidelines as defined in the Quality Management Program, the Chemical Hygiene Plan, confidentiality and HIPAA agreements, and all applicable state and federal regulations and requirements.Role Requirements: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or abilities required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Ability to perform essential job duties with or without reasonable accommodation, and without posing a direct threat to the safety or health of employee or othersDemonstrates high organizational skills, sound judgement, attention to detail and strategic thinkingResults oriented with a focus on accuracy and deadlinesWorks effectively, respectfully and collaboratively in a team environment with a spirit of cooperationDisplays excellent communication skills including presentation, persuasion, and negotiation skills required in working with clients, coworkers, and the general public including the ability to communicate effectively, work with people of diverse social, economic, educational, ethnic and cultural backgrounds and remain calm and courteous under pressureMaintains punctual, regular and predictable attendancePossesses specialized computer skills that require familiarity with applicable software, including Microsoft Office (specifically Word, Excel, and PowerPoint).Bachelor of Science degree (B.S.) or equivalentJob Type: Full-timeEducation:Bachelor's (Required)Work authorization:United States (Required)"
158,Portland,"Data Scientist and Software Engineer, Python/R, Java",New Relic,Nothing_found,"Data Scientist and Software Engineer, Python/R, Java. We are engineers with depth in Machine Learning in statistics, and we’re looking for a Data Scientist and...","New Relic


19 reviews","New Relic

Data Scientist and Software Engineer, Python/R, Java

Portland, Oregon


We’re the Applied Intelligence Services team. We are engineers with depth in Machine Learning in statistics, and we’re looking for a Data Scientist and engineer to join us. We deliver novel “intelligence” solutions to delight New Relic’s customers. We do this by building out a platform of tools to meet the needs of product teams around the organization. Our mission is to proactively improve the customer’s ability to detect issues, reduce noise, resolve issues faster, and continuously improve their own practices. Work our team has shipped includes NRQL query facet suggestion, outlier alerting, error profiles, and time series baseline alerting.


Data Scientist means many things to many people, we mean a solid foundation in statistics and Machine Learning, and the ability to pragmatically apply both to real world problems that we ourselves ship to production.


What working on the team is like:
We sit together as a team, and have on the spot discussions as a team as-needed.
We support each other, both inside and across teams.
We often take on projects with goals that may turn out to be unachievable. This is different to pure engineering teams that are mostly about shipping solutions that you know can be built.
We are unusual with our Data Science problems in that we have to deliver solutions for datasets that we may only have eyeballed a small subset of the data for. I.e. we may iterate based on a sampling of customers data but it has to work well for entire customer base.
We deal with a lot of roadmap uncertainty. We organize our projects so that we can conclude an approach won’t work, scrap the project, and switch gears.
We almost always include elements of statistics in our work. So our solutions are often probabilistic in nature.
We focus on delivering production code at a regular cadence using agile techniques.
We deal with extremely high volumes of data so all of our services have to scale well and be operationally robust.
We are on-call for the services we ship (we own them!), so we’re very operationally minded.
We predominantly work on the backend, but will do front end work as needed.
We commonly use Docker, Kafka, Java, Kotlin, and expose GraphQL APIs.
To join this team, you must:
Be able to engineer code following best practices and work in modern engineering environments.
Be able to level up the team through your depth of understanding of statistics and Machine Learning (mostly the former), and your ability to apply statistics to real world problems (especially time series data).
Be able to communicate ideas effectively and collaborate on problem solving.
Example statistics problems you must be able to contribute meaningfully towards:
Non-exponential-smoothing approaches to central-tendency for univariate time series data. Solutions need to work in a streaming fashion on large volumes of data, and with both memory and time constraints.
Counter-factual analysis of systems given uncontrolled observational data. Solutions need to work in an ad-hoc on-demand fashion.
Outlier detection in time series data that can discover correlations (hopefully causal) in related time series. Solutions need to work in a streaming fashion on large volumes of data, and with both memory and time constraints.
You’ll love working with us the most if:
You are comfortable with a blend of pure engineering, experimentation, and research.
You care deeply about the customer’s experience, and seeing their problems solved is your main goal.
You get your best work done in a collaborative environment.
Please note, this position is not eligible for visa sponsorship.

To get started, click on the link below. To fast track your application, let us know in your cover letter why this job, product, and/or company is of particular interest to you. We look forward to talking!


At New Relic, we hire people who are eager to contribute to our culture, and we empower them to do just that. We take pride in thinking beyond our day-to-day job descriptions, and encourage you to actively seek out opportunities to create the type of work environment that you want to be a part of. What does this look like in action? You should be ready to be a “culture add” to New Relic and spend ~5% of your time finding meaningful ways to make this an even better place to work.


A little about us:


New Relic provides the real-time insights that software-driven businesses need to innovate faster. New Relic’s cloud platform makes every aspect of modern software and infrastructure observable, so companies can find and fix problems faster, build high-performing DevOps teams, and speed up transformation projects. Learn why more than 50% of the Fortune 100 trust New Relic at newrelic.com.


New Relic is a San Francisco Best Places to Work award winner, an Oregon “Top Workplace” award winner, named a leader in the Gartner’s 2012, 2013, 2014, 2015 & 2016 “Magic Quadrant” for APM companies, a Top 100 OnDemand Company, Best of SaaS (THINKStrategies), Top 100 Coolest Cloud Computing (CRN); 10 Cloud Management Companies to Watch (NetworkWorld) – the list of accolades goes on. More important than all of that: we provide challenging work, opportunities to learn, high quality teammates, a standard-setting product, and a company on the move.


Our office is in the tech mecca of Portland, with easy commute access and a plethora of good eats and great coffee. We provide competitive compensation including equity and big-company benefits (medical, dental, etc.)—all while maintaining the energy, agility and fun of a start-up. We can help with relocation and are open to H1-B transfers.


New Relic is most decidedly an equal opportunity employer. We eagerly seek applicants of diverse background and hire without regard to race, color, gender identity, religion, national origin, ancestry, citizenship, physical abilities, age, sexual orientation, veteran status, or any other characteristic protected by law. Note: Our stewardship of the data of thousands of customers’ means that a criminal background check is required to join New Relic.


Interested in the details of our privacy policy? Read more here: https://newrelic.com/termsandconditions/applicant-privacy-policy"
159,Portland,Quality Assistant,Bodycote,Nothing_found,"Manual dexterity to perform data entry functions. As the world’s largest provider of thermal processing services, Bodycote employs thousands of highly skilled...","Bodycote


181 reviews","Quality Assistant
Our people are the heart of our business. As the world’s largest provider of thermal processing services, Bodycote employs thousands of highly skilled staff around the globe, some of the best engineers, scientists and technicians in the industry. Our staff are encouraged to develop their skills through professional career development and our in-house training resources.
At Bodycote what we do matters and as a member of our team, what you do matters too. Are you seeking a fast paced environment where you can be just as tactical as you are strategic? Are you familiar with quality systems? Are you technical in the areas of metallurgy or material science? Start your career with Bodycote and ensure our quality standards are implemented and maintained for customers in the aerospace & general industrial industries. Quality is essential at Bodycote. You will support the Quality Department in all areas while working closely with the Quality Manager. In addition you will:
Analyze all submitted documentation prior to shipment of customer parts.
Accurately prepare and complete certifications prior to shipment and corrected certs as needed.
Maintain quality system database, with a good understanding of ISO 9000/AS9100.
Perform internal audits
Assist Quality Manager as needed or required.
Bring any irregularities, discrepancies or concerns to supervisor immediately.
Promote and practice safety and good housekeeping.
We are seeking candidates with the following qualifications
Education – High school diploma or equivalent experience.
Minimum working experience in thermal processing, metallurgy, customer specifications, etc.
Blueprint reading preferred.
Two years preferred in quality organization in industries such as heat treating, manufacturing, metallurgy, aerospace and/or military specifications by education or experience.
Must possess strong verbal communication skills, professional and patient style in dealing with customers and staff.
Must be precise and detail oriented.
Must be able to work overtime as required.
Must have knowledge by experience or training of basic math.
Must demonstrate the ability to read, write and communicate the English language.
Knowledge and hands on experience of computer applications including Microsoft Office and databases is required.
This position requires the following physical and mental demands consisting of, but not limited to the following:
Must be able to work in a sitting and/or standing position for extended periods of time in an office/industrial environment.
Manual dexterity to perform data entry functions.
Ability to bend, pull, stoop and reach to perform functions.
Ability to lift up to 50 lbs.
May be exposed to heat, fumes, noise, and humidity, etc.
Must have the cognitive and mental capacity to perform essential job functions.
Must be able to communicate effectively orally and in writing.
Visual acuity to read documents, computer screens, files, etc.
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Bodycote is an Equal Opportunity Employer and does not discriminate against current and prospective employees based on race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, age for individuals over forty years of age, military and veteran status, sexual orientation, or any other basis protected by applicable federal, state and local laws.
MON123
BOD456"
170,Portland,"Director, Advanced Analytics",First Tech Federal Credit Union,Nothing_found,"Hire and mentor a team of data scientists to expand the impact of data and drive business insights. Key responsibilities of our team include data governance,...","First Tech Federal Credit Union


79 reviews","As the Enterprise Digital Analytics team, we empower First Tech business leaders to drive differentiating member experiences and business value by leveraging information and insights. We are the center of excellence responsible to help First Tech to become a fully data-driven organization. Key responsibilities of our team include data governance, business intelligence, enterprise data warehouse, advanced analytics, and business enablement of data analytics.
Here's what you can expect from the job and what you need to be successful:
Job Duties:
Define the vision, goals, and objectives of the analytics strategic plan
Develop a multi-year roadmap that moves the organization from novice to advanced, in the areas of solving business problems and driving growth through insights and analytics
Collaborate with business and key functions to design and develop analytics, architect data schema, and develop actionable insights capabilities; ensure all activity supports achievement of the long-term corporate strategic plan
Mine and analyze data to drive advanced analytics projects in support of organizational strategic objectives
Manage project tasks, timelines, and deliverables related to advanced analytics projects
Use descriptive/predictive/prescriptive modeling to increase and optimize customer experiences, revenue generation, underwriting, and other business outcomes
Hire and mentor a team of data scientists to expand the impact of data and drive business insights
Subject matter expert in predictive & prescriptive statistical modeling, machine learning and AI, customer profiling/segmentation analysis, and general data analysis and mining
Essential Skills:
Excellent, persuasive, and influential verbal and written English communication skills including the ability to communicate actionable findings to a non-technical audience in clear and concise language
Exceptional client interaction and relationship management skills
Demonstrated leadership skills in managing and developing people and the ability to lead and motivate cross-functional, interdisciplinary teams through both direct authority and through influence. Minimum 5 years of experience managing direct reports
Strong project, time, and resource management and problem-solving skills to deliver projects and large engagements on time and within budget in a fast-paced environment
Expert critical thinking and problem solving skills, with experience structuring solutions to business problems involving data and advanced analytics
Exposure to / experience working with large data sets
Familiarity with a range of advanced analytics techniques, including predictive analytics, AI/machine learning and optimization, particularly applied to financial modeling and analytics
Proven predictive modeling skills and experience building analytics teams, including integrating with business units to ensure alignment between analytics approach and the business strategy
Experience identifying and managing external data suppliers/agencies
10 years of data analytics experience with a Financial institution or other similar work environment
Experience with the Scrum and Agile framework
Bachelor’s degree in a technical, computer science, or quantitative field. Master's degree preferred
Travel: Limited (Less than 10%)
Location: Hillsboro, OR 97214
First Tech is not currently offering Visa sponsorship or transfers
HP123
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information."
171,Portland,Associate Market Research Analyst,Cascade Insights,Nothing_found,"*The Deets:   Salary: $45,000 - $50,000 year (DOE) * We strongly prefer candidates that already live in Portland, OR. Who we are: We’re a boutique market...",Cascade Insights,"$45,000 - $50,000 a yearThe Deets: Salary: $45,000 - $50,000 year (DOE)We strongly prefer candidates that already live in Portland, OR.Who we are: We’re a boutique market research and marketing consulting firm that operates exclusively in the B2B technology space. Our clients are some of the largest tech companies and most nimble startups in the world. Although our team comes from a diverse background, we’re united by a few common interests: helping clients make better decisions, learning about new technology, solving new business problems, doing great research, and helping our clients market their products and services.What you'll do: Conduct qualitative and quantitative market research. Develop marketing strategy and implement marketing solutions for our clients.Skills or knowledge that that are a plus: MarketingB2BMarket ResearchInformation TechnologyJob Type: Full-timeSalary: $45,000.00 to $50,000.00 /yearLocation:Portland, OR (Preferred)"
172,Phoenix,Data Scientist,Newton Group Transfers,Nothing_found,"We are looking for a hands-on, results-oriented, intellectually curious, self-learning Data Scientist to join our team....","Newton Group Transfers


11 reviews","We are looking for a hands-on, results-oriented, intellectually curious, self-learning Data Scientist to join our team. Using a variety of modeling and algorithmic methods, this individual will have familiarity with product analytics, marketing analytics, web analytics, business analytics, and customer value. Our management team is excited to provide this opportunity to someone who can drive positive change that will impact every person within the organization. We are The Newton Group and want you to be a part of our elite team!We are an experienced group of professionals who help timeshare owners terminate their ownership and all associated financial responsibilities. We are focused on being THE #1 trusted name in our industry. Our company has been in business for over fifteen years and has an A+ rating with the Better Business Bureau which we are proud to hold.We are looking for a highly educated, experienced and data driven individual to join our team. This position will be remote.Experience:At least 10 years in the software industry as software engineer or data scientist.Preferred candidate will have a background in software developmentAt least 5 years Data Science experienceMachine Learning/AI: familiar with many supervised model types including Generalized Linear Models, Random Forests, Gradient Boosting Machines, Support Vector Machines, Deep Learning Neural Nets, Ensemble Learning/Stacking. Unsupervised model types like Principal Component Analysis, K-means clustering, Hierarchical Clustering, Autoenconders.Building models for highly imbalanced data sets. Bias/Variance tradeoff. Model quality metrics like Rsquared, AUC. Outlier detection and removal.Advanced Statistics/Math: ANOVA/ANCOVA. Bootstrapping, confidence intervals. Causal modeling in both experimental and observational data sets. Bayesian networks. Bayesian regression. Markov Chain Monte Carlo, Gibbs sampling. Gaussian processes. Variational Inference.Programming: Python (and good familiarity with scikit-learn, numpy, scipy, matplotlib libraries), R for modeling and general purpose languages such C/C++, Java or C#, SQLTechnologies:Python, R, Hadoop, Spark, H2O, Tensorflow, Amazon Web Services, MySQL databaseQualifications and Skills:This position is remote but must live in the Phoenix AZ areaPossess excellent communication skills and ability to engage with senior leaders to design well-constructed analyses and work cross-functionally with managers to integrate results into the operations.Strong educational background from high caliber learning institutionBachelors and Masters in Computer Science, Math or Engineering (preferred candidates earned 3.5 GPA or greater from reputable university)Self-starter and hard workerDetail and goal orientedAn absolute winning mentalityFast worker who isn’t afraid to ask questions or go the extra mile to ensure proper completionBenefits:Healthcare Benefits offered after 30 days- Medical, Dental, Vision and Life (for FT employees)Professional financial servicing and advising offered upon hire401K with match offered at 90 day markPaid TrainingPTO after 90 daysSick & Vacation time after 1 yearPaid holidaysAll employees receive a 90-day performance review & yearly performance reviewsGenerous referral bonusesPersonalized, Individual Career MapAdvancement and professional development opportunitiesCasual work environment and dressHours: 7:30am - 4:30pm M-F (Flex time)Pay: DOEIf you are looking to take leadership of your future and work in a fun, reputable and growing company, please send your resume over today! We look forward to working with you!Job Type: Full-timeEducation:Bachelor's (Required)Work authorization:United States (Required)"
